Tên nhà cung cấp (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Số dư nợ đầu kỳ (VNĐ),Ghi chú
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 06396,0820006396,0100006396,ncc06396@tântiến.vn,"Số 176 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Doanh nghiệp Tư nhân Đức Trí - CN 06397,0820006397,0100006397,ncc06397@đứctrí.vn,"Số 177 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Thực phẩm An Bình - CN 06398,0820006398,0100006398,ncc06398@anbình.vn,"Số 178 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 06399,0820006399,0100006399,ncc06399@khangthịnh.vn,"Số 179 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 06400,0820006400,0100006400,ncc06400@thịnhvượng.vn,"Số 180 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Phân phối Việt Phát - CN 06401,0820006401,0100006401,ncc06401@việtphát.vn,"Số 181 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Thương mại Hưng Thịnh - CN 06402,0820006402,0100006402,ncc06402@hưngthịnh.vn,"Số 182 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Tổng Kho Đại lý Toàn Thắng - CN 06403,0820006403,0100006403,ncc06403@toànthắng.vn,"Số 183 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 06404,0820006404,0100006404,ncc06404@phúclộc.vn,"Số 184 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Doanh nghiệp Tư nhân Minh Châu - CN 06405,0820006405,0100006405,ncc06405@minhchâu.vn,"Số 185 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Thực phẩm Đại Nam - CN 06406,0820006406,0100006406,ncc06406@đạinam.vn,"Số 186 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 06407,0820006407,0100006407,ncc06407@hảiđăng.vn,"Số 187 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Đại lý Phân phối Cấp 1 Á Châu - CN 06408,0820006408,0100006408,ncc06408@áchâu.vn,"Số 188 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Phân phối Hoàng Kim - CN 06409,0820006409,0100006409,ncc06409@hoàngkim.vn,"Số 189 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Thương mại Thành Đạt - CN 06410,0820006410,0100006410,ncc06410@thànhđạt.vn,"Số 190 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Tổng Kho Đại lý Thiên Phú - CN 06411,0820006411,0100006411,ncc06411@thiênphú.vn,"Số 191 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 06412,0820006412,0100006412,ncc06412@tháibìnhdương.vn,"Số 192 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Doanh nghiệp Tư nhân Nam Việt - CN 06413,0820006413,0100006413,ncc06413@namviệt.vn,"Số 193 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Thực phẩm Đông Dương - CN 06414,0820006414,0100006414,ncc06414@đôngdương.vn,"Số 194 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 06415,0820006415,0100006415,ncc06415@giaphát.vn,"Số 195 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Đại lý Phân phối Cấp 1 Tân Tiến - CN 06416,0820006416,0100006416,ncc06416@tântiến.vn,"Số 196 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Phân phối Đức Trí - CN 06417,0820006417,0100006417,ncc06417@đứctrí.vn,"Số 197 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Thương mại An Bình - CN 06418,0820006418,0100006418,ncc06418@anbình.vn,"Số 198 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Tổng Kho Đại lý Khang Thịnh - CN 06419,0820006419,0100006419,ncc06419@khangthịnh.vn,"Số 199 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 06420,0820006420,0100006420,ncc06420@thịnhvượng.vn,"Số 200 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Doanh nghiệp Tư nhân Việt Phát - CN 06421,0820006421,0100006421,ncc06421@việtphát.vn,"Số 201 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Thực phẩm Hưng Thịnh - CN 06422,0820006422,0100006422,ncc06422@hưngthịnh.vn,"Số 202 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 06423,0820006423,0100006423,ncc06423@toànthắng.vn,"Số 203 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 06424,0820006424,0100006424,ncc06424@phúclộc.vn,"Số 204 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Phân phối Minh Châu - CN 06425,0820006425,0100006425,ncc06425@minhchâu.vn,"Số 205 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Thương mại Đại Nam - CN 06426,0820006426,0100006426,ncc06426@đạinam.vn,"Số 206 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Tổng Kho Đại lý Hải Đăng - CN 06427,0820006427,0100006427,ncc06427@hảiđăng.vn,"Số 207 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Nhà phân phối Hàng tiêu dùng Á Châu - CN 06428,0820006428,0100006428,ncc06428@áchâu.vn,"Số 208 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Doanh nghiệp Tư nhân Hoàng Kim - CN 06429,0820006429,0100006429,ncc06429@hoàngkim.vn,"Số 209 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Thực phẩm Thành Đạt - CN 06430,0820006430,0100006430,ncc06430@thànhđạt.vn,"Số 210 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 06431,0820006431,0100006431,ncc06431@thiênphú.vn,"Số 211 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 06432,0820006432,0100006432,ncc06432@tháibìnhdương.vn,"Số 212 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Phân phối Nam Việt - CN 06433,0820006433,0100006433,ncc06433@namviệt.vn,"Số 213 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Thương mại Đông Dương - CN 06434,0820006434,0100006434,ncc06434@đôngdương.vn,"Số 214 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Tổng Kho Đại lý Gia Phát - CN 06435,0820006435,0100006435,ncc06435@giaphát.vn,"Số 215 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 06436,0820006436,0100006436,ncc06436@tântiến.vn,"Số 216 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Doanh nghiệp Tư nhân Đức Trí - CN 06437,0820006437,0100006437,ncc06437@đứctrí.vn,"Số 217 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Thực phẩm An Bình - CN 06438,0820006438,0100006438,ncc06438@anbình.vn,"Số 218 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 06439,0820006439,0100006439,ncc06439@khangthịnh.vn,"Số 219 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 06440,0820006440,0100006440,ncc06440@thịnhvượng.vn,"Số 220 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Phân phối Việt Phát - CN 06441,0820006441,0100006441,ncc06441@việtphát.vn,"Số 221 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Thương mại Hưng Thịnh - CN 06442,0820006442,0100006442,ncc06442@hưngthịnh.vn,"Số 222 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Tổng Kho Đại lý Toàn Thắng - CN 06443,0820006443,0100006443,ncc06443@toànthắng.vn,"Số 223 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 06444,0820006444,0100006444,ncc06444@phúclộc.vn,"Số 224 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Doanh nghiệp Tư nhân Minh Châu - CN 06445,0820006445,0100006445,ncc06445@minhchâu.vn,"Số 225 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Thực phẩm Đại Nam - CN 06446,0820006446,0100006446,ncc06446@đạinam.vn,"Số 226 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 06447,0820006447,0100006447,ncc06447@hảiđăng.vn,"Số 227 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Đại lý Phân phối Cấp 1 Á Châu - CN 06448,0820006448,0100006448,ncc06448@áchâu.vn,"Số 228 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Phân phối Hoàng Kim - CN 06449,0820006449,0100006449,ncc06449@hoàngkim.vn,"Số 229 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Thương mại Thành Đạt - CN 06450,0820006450,0100006450,ncc06450@thànhđạt.vn,"Số 230 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Tổng Kho Đại lý Thiên Phú - CN 06451,0820006451,0100006451,ncc06451@thiênphú.vn,"Số 231 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 06452,0820006452,0100006452,ncc06452@tháibìnhdương.vn,"Số 232 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Doanh nghiệp Tư nhân Nam Việt - CN 06453,0820006453,0100006453,ncc06453@namviệt.vn,"Số 233 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Thực phẩm Đông Dương - CN 06454,0820006454,0100006454,ncc06454@đôngdương.vn,"Số 234 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 06455,0820006455,0100006455,ncc06455@giaphát.vn,"Số 235 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Đại lý Phân phối Cấp 1 Tân Tiến - CN 06456,0820006456,0100006456,ncc06456@tântiến.vn,"Số 236 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Phân phối Đức Trí - CN 06457,0820006457,0100006457,ncc06457@đứctrí.vn,"Số 237 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Thương mại An Bình - CN 06458,0820006458,0100006458,ncc06458@anbình.vn,"Số 238 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Tổng Kho Đại lý Khang Thịnh - CN 06459,0820006459,0100006459,ncc06459@khangthịnh.vn,"Số 239 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 06460,0820006460,0100006460,ncc06460@thịnhvượng.vn,"Số 240 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Doanh nghiệp Tư nhân Việt Phát - CN 06461,0820006461,0100006461,ncc06461@việtphát.vn,"Số 241 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Thực phẩm Hưng Thịnh - CN 06462,0820006462,0100006462,ncc06462@hưngthịnh.vn,"Số 242 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 06463,0820006463,0100006463,ncc06463@toànthắng.vn,"Số 243 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 06464,0820006464,0100006464,ncc06464@phúclộc.vn,"Số 244 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Phân phối Minh Châu - CN 06465,0820006465,0100006465,ncc06465@minhchâu.vn,"Số 245 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Thương mại Đại Nam - CN 06466,0820006466,0100006466,ncc06466@đạinam.vn,"Số 246 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Tổng Kho Đại lý Hải Đăng - CN 06467,0820006467,0100006467,ncc06467@hảiđăng.vn,"Số 247 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Nhà phân phối Hàng tiêu dùng Á Châu - CN 06468,0820006468,0100006468,ncc06468@áchâu.vn,"Số 248 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Doanh nghiệp Tư nhân Hoàng Kim - CN 06469,0820006469,0100006469,ncc06469@hoàngkim.vn,"Số 249 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Thực phẩm Thành Đạt - CN 06470,0820006470,0100006470,ncc06470@thànhđạt.vn,"Số 250 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 06471,0820006471,0100006471,ncc06471@thiênphú.vn,"Số 251 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 06472,0820006472,0100006472,ncc06472@tháibìnhdương.vn,"Số 252 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Phân phối Nam Việt - CN 06473,0820006473,0100006473,ncc06473@namviệt.vn,"Số 253 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Thương mại Đông Dương - CN 06474,0820006474,0100006474,ncc06474@đôngdương.vn,"Số 254 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Tổng Kho Đại lý Gia Phát - CN 06475,0820006475,0100006475,ncc06475@giaphát.vn,"Số 255 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 06476,0820006476,0100006476,ncc06476@tântiến.vn,"Số 256 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Doanh nghiệp Tư nhân Đức Trí - CN 06477,0820006477,0100006477,ncc06477@đứctrí.vn,"Số 257 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Thực phẩm An Bình - CN 06478,0820006478,0100006478,ncc06478@anbình.vn,"Số 258 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 06479,0820006479,0100006479,ncc06479@khangthịnh.vn,"Số 259 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 06480,0820006480,0100006480,ncc06480@thịnhvượng.vn,"Số 260 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Phân phối Việt Phát - CN 06481,0820006481,0100006481,ncc06481@việtphát.vn,"Số 261 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Thương mại Hưng Thịnh - CN 06482,0820006482,0100006482,ncc06482@hưngthịnh.vn,"Số 262 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Tổng Kho Đại lý Toàn Thắng - CN 06483,0820006483,0100006483,ncc06483@toànthắng.vn,"Số 263 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 06484,0820006484,0100006484,ncc06484@phúclộc.vn,"Số 264 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Doanh nghiệp Tư nhân Minh Châu - CN 06485,0820006485,0100006485,ncc06485@minhchâu.vn,"Số 265 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Thực phẩm Đại Nam - CN 06486,0820006486,0100006486,ncc06486@đạinam.vn,"Số 266 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 06487,0820006487,0100006487,ncc06487@hảiđăng.vn,"Số 267 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Đại lý Phân phối Cấp 1 Á Châu - CN 06488,0820006488,0100006488,ncc06488@áchâu.vn,"Số 268 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Phân phối Hoàng Kim - CN 06489,0820006489,0100006489,ncc06489@hoàngkim.vn,"Số 269 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Thương mại Thành Đạt - CN 06490,0820006490,0100006490,ncc06490@thànhđạt.vn,"Số 270 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Tổng Kho Đại lý Thiên Phú - CN 06491,0820006491,0100006491,ncc06491@thiênphú.vn,"Số 271 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 06492,0820006492,0100006492,ncc06492@tháibìnhdương.vn,"Số 272 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Doanh nghiệp Tư nhân Nam Việt - CN 06493,0820006493,0100006493,ncc06493@namviệt.vn,"Số 273 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Thực phẩm Đông Dương - CN 06494,0820006494,0100006494,ncc06494@đôngdương.vn,"Số 274 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 06495,0820006495,0100006495,ncc06495@giaphát.vn,"Số 275 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Đại lý Phân phối Cấp 1 Tân Tiến - CN 06496,0820006496,0100006496,ncc06496@tântiến.vn,"Số 276 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Phân phối Đức Trí - CN 06497,0820006497,0100006497,ncc06497@đứctrí.vn,"Số 277 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Thương mại An Bình - CN 06498,0820006498,0100006498,ncc06498@anbình.vn,"Số 278 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
